,NaNO3 (control),,Carboxymethyl Cellulose,,Tannic Acid,,Humic Acid,
Total Pb(NO3)2 (mL),pPb,pH,pPb,pH,pPb,pH,pPb,pH
0.5,4.448436381,4.76,6.11,4.74,5.47,4.03,5.83566749,5.01
1,4.266743588,4.67,5.68,4.48,5.08,3.83,5.12613724,4.69
1.5,4.277353386,4.6,5.24,4.23,4.92,3.72,4.16992918,4.34
2,4.185843877,4.52,5.05,3.96,4.85,3.64,3.87418106,4.01
2.5,4.114227739,4.46,4.75,3.81,4.79,3.59,3.71105541,3.83
3,4.041285377,4.41,4.63,3.73,4.81,3.55,3.54925599,3.73
3.5,4.018739556,4.36,4.48,3.69,4.74,3.51,3.496207,3.66
4,4.002824859,4.31,4.46,3.65,4.71,3.48,3.63413437,3.62
4.5,3.990888836,4.27,4.38,3.62,4.67,3.45,3.56649691,3.59
5,3.976300363,4.24,4.35,3.6,4.66,3.43,3.53864619,3.57
5.5,3.963038116,4.2,4.31,3.58,4.67,3.41,3.49753322,3.55
6,3.947123418,4.17,4.29,3.56,4.66,3.4,3.4590727,3.54
6.5,3.944470969,4.14,4.3,3.54,4.63,3.38,3.45642025,3.52
7,3.927230047,4.12,4.28,3.52,4.67,3.37,3.46570383,3.5
7.5,3.916620249,4.09,4.27,3.51,4.63,3.35,3.45111536,3.49
8,3.903358001,4.07,4.28,3.49,4.61,3.34,3.53334129,3.48
8.5,3.894074428,4.05,4.25,3.48,4.59,3.32,3.52273149,3.47
9,3.906010451,4.02,4.24,3.47,4.57,3.31,3.51477414,3.46
9.5,3.886117079,4,4.21,3.46,4.55,3.3,3.51212169,3.45
10,3.874181056,3.98,4.2,3.46,4.54,3.29,3.50018567,3.44
