Humic acid,,,,K=([Pb–OOC][H+])/([Pb2+][–COOH]),,,,,,
Total Pb(NO3)2 (mL),pPb,pH,,[Pb–OOC],[H+],[Pb2+] Activity,[Pb2+] conc,[–COOH],K,K with H+ ion correction
0.5,5.83566749,5.01,,0.000247821,9.77237E-06,1.45993E-06,2.179E-06,0.007972179,0.139413026,14266.0372
1,5.12613724,4.69,,0.000488837,2.04174E-05,7.47933E-06,1.11632E-05,0.007731163,0.115646132,5664.102609
1.5,4.16992918,4.34,,0.000649076,4.57088E-05,6.76193E-05,0.000100924,0.007570924,0.038828479,849.4745723
2,3.87418106,4.01,,0.000800591,9.77237E-05,0.000133604,0.000199409,0.007419409,0.052880728,541.1247827
2.5,3.71105541,3.83,,0.000959685,0.000147911,0.000194511,0.000290315,0.007260315,0.067344689,455.3059744
3,3.54925599,3.73,,0.001078625,0.000186209,0.000282322,0.000421375,0.007141375,0.066745077,358.442285
3.5,3.496207,3.66,,0.001273878,0.000218776,0.000319002,0.000476122,0.006946122,0.084268887,385.1831284
4,3.63413437,3.62,,0.00165343,0.000239883,0.000232202,0.00034657,0.00656657,0.174283569,726.5348384
4.5,3.56649691,3.59,,0.001845025,0.00025704,0.000271333,0.000404975,0.006374975,0.183694207,714.653395
5,3.53864619,3.57,,0.002068204,0.000269153,0.000289304,0.000431796,0.006151796,0.209561902,778.5962929
5.5,3.49753322,3.55,,0.00227533,0.000281838,0.000318029,0.00047467,0.00594467,0.227260841,806.3518913
6,3.4590727,3.54,,0.002481376,0.000288403,0.000347478,0.000518624,0.005738624,0.240454187,833.7432745
6.5,3.45642025,3.52,,0.002728199,0.000301995,0.000349607,0.000521801,0.005491801,0.287512211,952.0424094
7,3.46570383,3.5,,0.002989235,0.000316228,0.000342213,0.000510765,0.005230765,0.353812701,1118.853999
7.5,3.45111536,3.49,,0.003221786,0.000323594,0.000353903,0.000528214,0.004998214,0.394886262,1220.315212
8,3.53334129,3.48,,0.003562897,0.000331131,0.000292859,0.000437103,0.004657103,0.579566789,1750.263721
8.5,3.52273149,3.47,,0.003802087,0.000338844,0.000300102,0.000447913,0.004417913,0.65104525,1921.37075
9,3.51477414,3.46,,0.004043804,0.000346737,0.000305651,0.000456196,0.004176196,0.735966861,2122.551612
9.5,3.51212169,3.45,,0.00429101,0.000354813,0.000307524,0.00045899,0.00392899,0.844257704,2379.441503
10,3.50018567,3.44,,0.00452822,0.000363078,0.000316093,0.00047178,0.00369178,0.943956928,2599.873266
